sample_id,normoxic_CC/can_grow/probability,normoxic_CC/can_grow/diameter_rate,normoxic_CC/can_divide/probability,normoxic_CC/can_divide/diameter_cutoff,normoxic_CC/can_divide/O2/threshold,normoxic_CC/diameter/max,cell_line,exposure_seconds
0,0.3450654386799476,2.692773425638056,0.05719088177326485,13.845234914011753,0.9145753107635861,25.238328401489664,EGI1,0
1,0.10281970327460005,0.6471759901410059,0.26119903235267034,19.83596017345462,0.9165274450845184,29.979366195842573,EGI1,0
2,0.6363722430870995,0.11674530602690465,0.5352553420091696,14.592110537605986,0.2559690110973007,26.21506251009724,EGI1,0
3,0.607950422576027,15.9311940018947,0.09581112058326856,20.966185276364833,0.3952766160509922,21.861980710539523,EGI1,0
4,0.9148356220045436,0.26394109940439897,0.7180321363060479,16.903877604197746,0.8506867420958615,23.048866016414124,EGI1,0
5,0.6642884525783803,2.482355866472215,0.9631457521812057,15.257284744903634,0.2291058945628092,28.60514624037507,EGI1,0
6,0.9663217455273023,18.85128986187656,0.3891912751748544,16.469791652276623,0.2397627356451621,23.61419965853345,EGI1,0
7,0.6527080368247834,0.319434527050436,0.45206561950506224,19.287044024051813,0.6079118304956128,21.322478306355066,EGI1,0
8,0.1286831749217214,0.9421899887677153,0.36313521986863284,12.954190744272442,0.13305805565794468,20.16872506895116,EGI1,0
9,0.9612907498097709,0.7197746874485043,0.5762691725107086,12.61471649367019,0.1583972688593473,28.336997709923153,EGI1,0
10,0.16138721936341285,3.945646490449234,0.283214264888454,13.7596316572123,0.5755518214415565,24.713029366917272,EGI1,0
11,0.2141864356559763,0.6560462924521695,0.3503359759419164,16.830431274343255,0.09203426990196897,29.692625292319008,EGI1,0
12,0.8194516190967681,12.068813749113328,0.2301605898606827,16.207363195575287,0.9507877187426257,26.505010483565435,EGI1,0
13,0.01947885963876583,5.709333320418123,0.4568577043572629,16.892217179658175,0.8051898362363065,21.923375447345677,EGI1,0
14,0.5653838179193029,4.679555227579828,0.5434973894439216,21.349623963711874,0.2436937916617289,20.607727990441933,EGI1,0
15,0.13884995842307485,1.0083701415620043,0.8311360207391987,17.697783652057073,0.47606063796105125,24.57259821229006,EGI1,0
16,0.9186208676718599,0.9731284434529262,0.8498804314706182,15.891153793080573,0.040649094760695836,25.984303500492132,EGI1,0
17,0.27142658990233237,2.272524679125053,0.44227432191568616,19.40593565624578,0.3014393265170471,22.593657172343676,EGI1,0
18,0.8441604192342419,0.4145920722208011,0.7257191063521472,20.134251891832488,0.9618559655820489,26.17683658469566,EGI1,0
19,0.007794009979575832,0.1436108593931901,0.37298918942771137,12.420417749527106,0.8232776212986042,28.479581882512193,EGI1,0
20,0.49807747388693757,8.99968659561279,0.012994733029043026,13.446703099590994,0.06286238207652267,22.105512996904615,EGI1,0
21,0.947859361942857,0.14173130513431145,0.33294144291723937,12.709339178073224,0.4736593138340237,24.78982201547833,EGI1,0
22,0.39633943687403755,0.5410877287775363,0.7482986910358577,13.537985043332867,0.16332069708084332,21.717744260129354,EGI1,0
23,0.012321019576776377,0.5626917819012638,0.5869172851856668,15.84192001543712,0.0025443597819502007,20.029531055544744,EGI1,0
24,0.6315978265699951,7.0918040230361585,0.20484082959096087,17.31102827610144,0.9838779279641279,24.1928266973204,EGI1,0
25,0.549730048177843,1.127428233651447,0.6835476191652514,16.704358807250323,0.26291997252796073,26.840775122838423,EGI1,0
26,0.9289526490760269,17.41765666286052,0.6155819865181072,10.930831121673942,0.3681523381536838,28.2635411120222,EGI1,0
27,0.3404884950068903,1.948433392024747,0.6565219729223823,17.14530440621901,0.18754505826600681,24.32878635884677,EGI1,0
28,0.2867794785471842,21.42414622503011,0.26673075838065535,18.584388938014428,0.509212354541525,23.723932281813234,EGI1,0
29,0.9737406417274177,5.200963795756476,0.9103646877847552,14.78844796318845,0.3364231905532041,25.624175315449026,EGI1,0
